tx,ty,land_frac,elev_min,elev_max,hi,r1000_p90,r1000_max,r2500_p99,r2500_max,r5000_max,w2k_p99,w2k_max,w2k_max_x0,w2k_max_y0,w2k_max_x1,w2k_max_y1,slope_p90,slope_p99,slope_bc,tri_mean,misses
-5,0,0.995293,0,1431.61,0.265148,350.75,847.247,895.85,1131.39,1221.69,569.65,1004.53,-63120,1800,-61710,390,29.61,42.73,0.426884,22.9885,0
-4,-16,0.00288193,0,353.598,0.00141241,0.05,353.598,0.05,353.598,353.598,0.05,353.598,-59190,-231450,-61200,-231450,0.01,0.01,0.92994,0.173596,0
-4,-15,0.049639,0,171.236,0.0110292,0.05,171.236,165.15,171.236,171.236,69.05,171.236,-48690,-217980,-46680,-217980,0.01,6.51,0.744423,0.342829,0
-4,-14,0.0239253,0,155.959,0.00394776,0.05,155.959,155.95,155.959,155.959,37.05,155.959,-49410,-203340,-47400,-203340,0.01,9.45,0.843749,0.381255,0
-4,-13,0.00818239,0,166.793,0.00127348,0.05,166.793,46.95,166.793,166.793,0.05,166.793,-54660,-184710,-52650,-184710,0.01,0.01,0.870405,0.112264,0
-4,-12,0.926029,0,819.045,0.205703,344.85,730.022,819.05,819.045,819.045,553.45,808.762,-57750,-182100,-56340,-180690,24.79,39.37,0.708533,12.4364,0
-4,-11,0.636276,0,307.005,0.0820963,84.05,234.604,250.65,266.147,296.866,116.15,250.555,-49830,-167640,-47820,-167640,5.41,23.59,0.77617,3.52617,0
-4,-10,0.0702962,0,35.918,0.0105917,10.45,35.918,27.55,35.918,35.918,14.35,35.918,-59220,-138810,-57210,-138810,0.01,6.29,0.763404,0.362639,0
-4,-9,0.153401,0,36.498,0.0214051,11.05,36.498,21.15,36.498,36.498,13.75,36.498,-59190,-132630,-61200,-132630,0.79,4.51,0.596439,0.440223,0
-4,-8,0.697699,0,139.814,0.187118,26.45,57.888,69.05,103.592,114.799,45.65,75.635,-58980,-107790,-60990,-107790,2.23,5.97,0.48668,1.7163,0
-4,-7,0.816744,0,525.123,0.117891,92.45,264.229,323.85,433.896,503.039,201.85,319.123,-55650,-94440,-55650,-92430,5.11,14.95,0.649408,2.90885,0
-4,-6,1,26.104,1528.12,0.533553,332.15,601.826,829.35,927.805,1226.86,522.55,733.793,-49500,-79770,-51510,-79770,21.61,37.51,0.676022,13.0017,0
-4,-5,1,316.378,2451.04,0.465677,548.25,809.391,993.05,1029.23,1376.45,657.35,931.97,-48210,-62550,-50220,-62550,37.05,45.71,0.618285,27.2705,0
-4,-4,1,1071.47,3551.8,0.579235,666.45,1087.9,1430.65,1518.9,2132.73,903.15,1325.16,-50040,-60870,-48630,-59460,38.47,46.47,0.39432,38.5107,0
-4,-3,1,2030.85,3662.25,0.48629,401.15,845.872,848.55,972.702,1141.8,556.65,892.047,-46350,-37980,-48360,-37980,30.15,39.57,0.460471,24.7593,0
-4,-2,1,2278.41,3666.7,0.409564,356.05,509.671,641.85,717.681,1027.32,409.75,639.73,-60090,-26640,-60090,-28650,24.33,37.35,0.456231,19.2926,0
